duration,date,subject.code,exclude,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
970,3/11/22 13:32,R_V4PZANOB6Uat5Ul,0,4,,,Atleast she would have done something of worthwhile to the less fortunate.,,Nothing happens.,Hank picks Steve house to be painted.,He was not involved,,,,,,,
271,3/11/22 13:38,R_AoBaxi2eQ2Xvbbz,1,5,,,He shouldn't paint anyones house that doesn't want it painted no matter how much money he gets. ,,Hank accidentally painted carol's house,Nothing happens to Steve and Hank but Hank has a chance to paint Steve's house for 1 million dollars,The stranger was not involved,,,,,,,
515,3/11/22 13:50,R_3dH8MFZOQPwBywk,0,,,,,,,,,5,,,"It's just wrong to paint some random stranger's house without their consent, no matter how much money is involved, especially pink!","Nothing, Hank only read about Carol in the newspaper","Depending on Hank's choice, he could be painting Steve's house.  If not, then they will probably never meet.","The stranger wasn't involved, it was only a coincidence that he showed up the same day that Hank was reading the story about a house getting painted."
628,3/11/22 14:33,R_12gOnvPZ9E6RnZh,0,,,,,,,,,1,200000,,if he paints the house pink and gets the 1 million dollars he can give The house owner enough money to paint it back the way it was. This way they both win. ,"nothing, Carol is just a character in a story he read",Steve is a random person in the phone book that Hank has to make a decision whether to paint his house pink or not,He wasn't involved 
132,3/11/22 15:38,R_6zFTlxzCmT10f6h,1,,,,,,,,,5,,,it's not worth money to mess with someone else's property,Hank mistakenly paints her house blue,Hank picks Steve's address at random to paint his house pink,He's not
145,3/11/22 15:39,R_22Ew0o3JJFBp81k,0,,,,,,,,,1,100000,,"It's fair IMO, I'm sure he didn't want a pink house but that should cover re-painting and have some left over.","Nothing, he only reads about her in the newspaper.",Hank has to paint Steve's house.,They weren't involved at all
178,3/11/22 15:39,R_1dNzWRlAlWfjlbr,1,5,,,Painting a stranger's house without consent is immoral.,,"Hank painted Carol's house pink, although she did not request that.","Not clear, Hank chose Steve's house to paint blue, but it is not clear that he went through with it.",He was not involved.,,,,,,,
179,3/11/22 15:39,R_1nVZbsm7zZmyBhG,1,,,,,,,,,5,,,I would worry about a lawsuit.  How much would that cost?,Carol gives Hank the wrong address and he accidentally paints someone else's house.,Hank picks a random address in the phonebook to paint.  The random address is Steve's home.,The stranger has nothing to do with Carol's house being painted.
164,3/11/22 15:39,R_2BrP2XaA8cElCZK,0,1,75000,,25k to repaint the house and 50k for the trouble,,He reads about her in the newspaper,Hank has a choice of getting a million dollars and having steve's house repainted without his knowledge,He wasn't,,,,,,,
194,3/11/22 15:39,R_4SbNUNOlE2dDVMl,0,1,40000,,"Give some to the man who may not like the color blue, but otherwise no harm done. ",,Nothing.,He may paint that man's house blue. ,not at all. ,,,,,,,
155,3/11/22 15:39,R_qOd8UzCaDtA2sUx,0,,,,,,,,,3,15000,15000,Compensation to repaint house and for time and effort of inconvenient. ,Nothing,Hank picks Steve's house to paint,"Not at all, but Carol should still get some money."
198,3/11/22 15:39,R_T59UE80vIOisYBb,1,6,,,He doesn't have to give any money to Steve. He can contact Steve and arranged to have Steve's house repainted to whatever color Steve wants.,,Hank accidentally had Carol's house painted pink.,Hank is given the option to collect one million dollars by having Steve's house painted blue.,The stranger wasn't involved with Carol.,,,,,,,
215,3/11/22 15:40,R_2TUev3LUx3scj8e,1,1,45,,help,,coincidentally,painting company,Hank ,,,,,,,
197,3/11/22 15:40,R_WkEoUWjks1TVQWd,0,,,,,,,,,5,,,that's the right thing to do,hank read a story about carol in the newspaper.,they both have a story about house painting.,not involved. 
211,3/11/22 15:40,R_3oQRWa62hJZ5xlQ,1,,,,,,,,,5,,,It's not morally right to randomly paint the house of a stranger without their permissions.,Hanks read about Carol.,Hank picks Steve's address randomly.,The stranger gave Anne money for painting Carol's house blue.
218,3/11/22 15:40,R_qIauv4XxqqbwQ4V,0,,,,,,,,,1,500000,,"Steve could paint his house back to it's original color for much cheaper if he wanted, he will be excited about the money.",Hank reads about Carol in the apper.,Hank has the choice of having Steve's house painted.,The stranger was not involved.
177,3/11/22 15:40,R_88HCFNoyRmW09BT,1,6,,,It's pretty harmless so why not,,"We don't know what happens between them, he put her address on accident and her house got painted pink",Hak can choose to paint his house blue and get 1mil,He wasn't involved in that,,,,,,,
169,3/11/22 15:40,R_eXW50VZ1aQtZM5j,0,,,,,,,,,5,,,No need to paint someones house for money. ,Hank reads a story.  Carol had her house painted by mistake,Hank was asked to paint steves home for money ,they were not involved. 
216,3/11/22 15:41,R_wOajTTezKHHlOcp,0,,,,,,,,,5,,,The random person probably does not want their house painted pink,Hank reads the story about Carol and how her house was painted blue by mistake,Hank can have Steve's house painted pink if he chooses to.,The stranger was not involved in that
229,3/11/22 15:41,R_3KxzHVoyPdfUB2W,0,5,,,Painting someone's house without their permission is morally questionable. ,,Nothing,Nothing,There is no evidence in the story that he was involved,,,,,,,
270,3/11/22 15:41,R_x0k0gzfyYAJuac1,0,,,,,,,,,5,,,"Well he can't assume that Steve would trade the color of his house for a sum of money (though that would be reasonable), so therefore the moral thing would be to leave things as is.","Nothing, he just read a story involving Carol.",Hank is offered a sum of money to agree for Steve's house to be painted pink.,He wasn't. It was a coincidence.
293,3/11/22 15:41,R_Y66r3CXqfIwafGp,1,,,,,,,,,1,50000,,It'll cost around 10 thousand to re-paint the house into another color.  The extra is for any extra damages + bonus for the inconvenience.,"Hank wants to get his house painted while he is on vacation, but accidentally gives them Carol's address instead.","Hank can choose to have Steve's house painted pink.  If he does, Hank receives 1 million dollars.",He wasn't involved.
238,3/11/22 15:41,R_2EFXb0RG8OK5NPl,0,,,,,,,,,5,,,It is not his choice to make for the stranger. ,Hank read a story about Carol in the newspaper.,Hank chose Steve at random to possibly paint his house pink.,He wasn't that we know of.
193,3/11/22 15:41,R_3ff6bWXTm8wdqoR,0,1,25000,,enough to get his house repainted if he would like,,nothing,hank selects steves address to be painted blue,the stranger isn't involved in Carols house painting,,,,,,,
287,3/11/22 15:41,R_xcqUyN325HVrCCd,0,,,,,,,,,5,,,Steve's house is not his property and he should not tell anyone that they can do anything to it. ,Hank reads a story about Carol's house being painted. ,Nothing happens. Hank has to make a decision first. ,The stranger was not involved in Carol's house being painted. 
218,3/11/22 15:41,R_2v94eVNySxCoxZe,1,6,,,I don't see why carol or steve needs the money.,,Hank painted Carol's house pink.,Hank needs to decide to paint Steve's house blue.,Not at all,,,,,,,
192,3/11/22 15:41,R_2tb6HtBbO5ECPNn,0,,,,,,,,,5,,,"Painting someone's house without their permission is obviously wrong, even if they got some of the money. Carol getting the money wouldn't make up for having her house painted blue. Plus, even if Steve and/or Carol got some of the money as compensation, it still would have been obtained by Hank lying. ",nothing,Hank had the opportunity to paint Steve's house,he wasn't
234,3/11/22 15:41,R_1LMXomyyCD7FnNA,0,,,,,,,,,5,,,You can not touch someone else's property without permission,nothing,nothing,he wasn't
214,3/11/22 15:41,R_3oKMdqpHyFCc1RG,0,5,,,"Morally, it wouldn't be right to damage someone else's property. Painting someones home without their permission is a violation of their rights,  regardless of how much money is at stake.",,Nothing happens between them. Hank read a story about Carol.,A stranger offers Hank money to paint Steve's house blue.,The stranger is not involved.,,,,,,,
313,3/11/22 15:41,R_1GZwhN2BPz0rsix,0,5,,,It is not Hank's job to pick  house colors for anyone but his own  house.,,nothing.,"Hank is offered an opportunity to receive money by having Steve's house painted, which he refused to do. So nothing happens between Hank and Steve.",He was not involved.,,,,,,,
268,3/11/22 15:41,R_2Yy0QBAA9nqJGoD,0,,,,,,,,,1,500000,,This is a bribe,nothing,hank has to paint steve's house if he wants a million,he was not involved
309,3/11/22 15:41,R_3CBjrirGDKUqvA0,0,1,250000,,"With 250000 Steve can more than afford to paint his house back to is original color and still have plenty left over for the inconvenience. Hank is taking the risk and doing the work so he gets the most, but if Hank does this they BOTH win.",,Nothing,Hank gets an offer to paint Steve's house blue in exchange for a million dollars. I think he should.,He was not.,,,,,,,
292,3/11/22 15:42,R_SQalPkKLCZ0SSNb,0,5,,,It's not his house and people don't give away 1mill unless it's stolen or not theirs,,Nothing,Nothing,He wasn't,,,,,,,
188,3/11/22 15:42,R_3PSU4YLzLEpnHz1,0,,,,,,,,,1,500000,,It only seems fair that they both become benefactors from such a strange situation.  This way Steve can get his house repainted however he likes as well.  It would make up for any embarrassment.,Nothing really.  Hank just read about what happened to Carol.,Hank has the opportunity to paint Steve's house even though he doesn't really know him.,The stranger is the one with an odd proposition dealing with a lot of money for an unusual request.
288,3/11/22 15:42,R_2VJQXph7ao8IjbW,1,1,500000,,"If he lets Steve know beforehand, I'm sure Steve will agree for half a million. Steve can pretend he didn't know about it, and the stranger will still get a kick out of it. It would be a win all around.",,He accidently painted her house pink.,"Hank had to decide whether to paint Steve's house blue, without him knowing.","Not at all, as far as we know.",,,,,,,
291,3/11/22 15:42,R_2aRjUJBVJJeQZur,0,5,,,"Because Hank doesn't own the property, he doesn't have the right to make those decisions. That could be considered vandalism or destruction of property. ",,Hank reads a story about Carol.,Hank picks his name out of a phone book and receives $1 million because Steve's house will be painted blue.,The stranger was not involved in Carol's house.,,,,,,,
361,3/11/22 15:42,R_1pMe9CReUPkGNV4,0,5,,,"Even though it would be a joke, at the end of the day, you are taking part in a crime (vandalism, destruction of property, possible breaking & entering), a crime, mind you, that would be very easy to prove. At the end of the day you are committing a crime against another person for a sum of cash. Nothing about that is morally right.",,"Nothing, Hank is reading a story in the newspaper that involves Carol, but that's it.","Hopefully nothing, Hank has just been offered 1 million dollars from a stranger in exchange for painting Steve's house blue, but Hank hasn't said Yes or No yet.","All he did was steal the idea, he wasn't involved in the original incident.",,,,,,,
353,3/11/22 15:42,R_1d6oH0WKZz8Hu3e,0,5,,,HE HAS NO MORAL RIGHT TO MAKE ANY DECISIONS ABOUT ANOTHER PERSON'S PROPERTY,,THERE IS NO RELATIONSHIP BETWEEN THEM EXCEPT FOR HIS READING ABOUT HER HAVING HER NEIGHBOR'S HOUSE PAINTED BY MISTAKE,NOTHING HAPPENS BETWEEN THEM EXCEPT FOR HANK BEING OFFERED $1 MILLION TO PAINT STEVE'S HOUSE,THERE WAS NO CONNECTION BETWEEN THE STRANGER AND CAROL EXCEPT FOR HANK BEING OFFERED  $1 MILLION BY THE FORMER AND READING ABOUT THE LATTER'S MISTAKE IN HAVING HER NEIGHBOR'S HOUSE PAINTED ,,,,,,,
300,3/11/22 15:42,R_3P5AkLxoylMh2qE,0,,,,,,,,,5,,,"If Hank doesn't turn the stranger away and accepts the money he is affecting the life of someone he doesn't know without any consequence.  He could take the million and use some of that money to pay for Steve to repaint his house whatever color her wants but, that will be an inconvenience to Steve.","Nothing, Hank only read a story involving Carol.","Nothing, Hank only picks Steve's address out of a phone book.","They aren't, the stranger approached Hank."
191,3/11/22 15:42,R_1GV9vBpu7dU9yWG,1,1,25000,,I wouldnt turn down a million dollars for doing something like painting someone's home - I'd give Steve some of the money ,,Hank paints her house pink ,hank paints his house blue for 1000000,he isn't ,,,,,,,
155,3/11/22 15:42,R_2rGWliK4aonPMWQ,0,,,,,,,,,5,,,He can't just paint a random house without asking for permission first,Hank and Carol are not related at all,"Nothing happens yet, but Hank may paint Steve's house",The stranger wasn't involved in Carol's house at all
344,3/11/22 15:42,R_5vjb156FKHQ63vP,0,,,,,,,,,3,10000,10000,I at least feel the need to give them both some money to repaint their houses.,Carols house gets painted. Hanks gets approched with a strange request.,Hank has to decided whether he wants to get Steves house painted or not.,He read the story in the newspaper.
311,3/11/22 15:42,R_0HAmtTk98oOB2Nj,0,3,50000,50000,I think both would be fair what the inconvienance to them. ,,Carol had her house painted pink on accident. ,Hank paints Steve's house blue without consent. ,"They were not directly involved, other than both getting their house painted.",,,,,,,
336,3/11/22 15:42,R_2dtGiPKtbOL1HLM,1,2,,10000,She got her house painted mistakingly and hes got to repay her for her pink house,,Hank wants to paint his house pink but accidentally the wrong address is put in and instead his neighbor carol whos gone her house gets painted pink,The stranger is asking to paint a random guys house blue for $1 million and Steve is the one whos picked the house,They painted it when she was away on vacation,,,,,,,
298,3/11/22 15:42,R_RymPOy0LmscTGWR,0,,,,,,,,,1,100000,,enough to repaint the house and then some to make up for the  inconvenience,"nothing, Hank just reads about her in the paper",Hank can have Steve's house painted pink to get a million dollars,he was not involved
221,3/11/22 15:42,R_pNaMxsLUiffywed,0,,,,,,,,,1,500000,,I would say to give him half. That seems the most fair to me.,He read a story about her in the newspaper.,Hank randomly chose Steve's house to paint pink for 1 million dollars.,He was not involved.
269,3/11/22 15:42,R_2OUvpyfOIvbJIAk,0,,,,,,,,,1,500000,,I think Steve will understand.,Nothing her house was painted blue by mistake. ,Hank is going to paint his house pink.,He is not involved at all with Carol. 
281,3/11/22 15:42,R_1n7M7GctdwLHXIh,1,,,,,,,,,3,250000,250000,Because he screwed up and painted the wrong house and it will have to be repainted. As far as Steve he is unaware of what the plan on doing to the house and he might not like it. ,Hank painted Carols house blue,Hank paints Steve’s house without his permission ,She wasn’t
389,3/11/22 15:42,R_114K2uT142gz0IB,0,,,,,,,,,5,,,"If he does not have time to alert Steve, he is vandalizing his house.  He does not have permission to paint it. ",Carol is someone that accidently gets her house painted. Hank reads about the mistake in the paper/ ,"Hank is offered a million to randomly paint a house pink, using an address from the phone book. Steve happens to own the house at the address he randomly picks.  ",There is no connection between the stranger and the mistake made with Carol's house.  
368,3/11/22 15:43,R_1OBwfGxPAuJHufn,0,1,100000,,Steve can hire someone to paint over the blue after Hank shares a portion of his money.,,Hank read about the story in a newspaper.,Hank picked Steve's address out of a phone book.,The stranger was not involved.,,,,,,,
408,3/11/22 15:43,R_0UmiAPZuYckUsVP,0,1,100000,,"1 million dollar is a lot of money, and to paint Steve's home blue is not that bad. Steve could easily re-paint it again with $100,000 that I will share with him. Both of us will be happy.",,Nothing happens. Hank and Carol don't know each other and not related.,Hank has the option to paint the Steve's home at 1 million dollar.,I don't think the stranger in Hank's case is not the same person that painted Carol's house since Anne actually wanted her home to be painted pink and not getting paid.,,,,,,,
402,3/11/22 15:43,R_3lKao5xK1EPGhNL,1,,,,,,,,,1,10000,,It's a million dollars!!  ,They both get their houses painted when they did not know,Steve gets picked at random by hank to get his house painted. While hank gets one million.,anne wrote down the wrong address
239,3/11/22 15:43,R_2AGTOvAH0N414Uw,0,,,,,,,,,5,,,Not his property ,hank read a story about carol,Hank chose to have Steve house painted for 1 million dollars,He wasnt
367,3/11/22 15:43,R_1Q9L9lQPToWJkH5,0,5,,,This situation would really be bad for the guy ending up with a blue house!,,"Nothing. Carol ends up with a pink house, it has nothing to do with Hank.",Nothing if Hank doesn't take the money to paint the house blue.,Nothing. ,,,,,,,
222,3/11/22 15:43,R_269z75pQUlELWTO,0,,,,,,,,,5,,,"Speaking from a strictly moral perspective, he should refuse the offer because it's not his business to paint someone else's house without their permission.",Hank read a story that involved Carol.,Hank picked Steve's name at random out of a phone book.,"He wasn't, that was a separate instance."
244,3/11/22 15:43,R_3oQSRYDh45f0V1b,0,1,500000,,"Half and half would seem fair. Blue is not a crazy house color even if Steve didn't like it, the money would more then cover to repaint it.",,"Nothing, Hank only read a story about Carol in the newspaper.",Hank could paint Steves house to get 1 million dollars from a stranger.,Not involved at all.,,,,,,,
169,3/11/22 15:43,R_2dDSjcUEiFQHRm9,0,,,,,,,,,3,100000,100000,He should give them enough to repaint their house and make it worth their while on top,Nothing. Hank read a story about Carol.,Nothing yet; Hank might have Steve's house painted.,The stranger was not involved.
291,3/11/22 15:43,R_3KYLMRNuM1fP0Oc,0,1,500000,,Steve should get half the money because without Steve Hank cannot get the money at all. ,,Hank reads about Carol's house being painted by accident.,Steve is someone who Hank picks at random when deciding if a house should be painted blue in order to get 1 million dollars..,The stranger was not involved in Carol's house being painted pink.,,,,,,,
390,3/11/22 15:43,R_1rrF4ie38SM9uyQ,0,1,500000,,"The only harm in accepting the money is painting Steve's house blue without his consent, so if Hank gives Steve money to cover repainting the house and a little extra, they will both win.",,"Nothing, Hank read a story about her in the newspaper",Hank must decide whether to paint Steves house blue without telling him,The story does not say,,,,,,,
215,3/11/22 15:43,R_vqpHsaEDWHVa2Hv,1,5,,,This stranger appeared out of nowhere and you have no connection to him.  The trust is not there yet.  I think that affecting someone elses property by painting it blue would not be a moral thing to do.  I think he should refuse the offer and turn the stranger away to be the most moral.,,Hank wanted to paint his house pink but accidentally gave the painting company Carol's address so her house was painted instead.,Hank was offered a million dollars to paint a strangers house and Steve ended up being the stranger that could be affected by this decision.,The stranger has no involvement with Carol at all nor her house being painted pink.,,,,,,,
394,3/11/22 15:43,R_xEkSy7Yyv1XiOZz,0,5,,,It is not right to deface any persons property no matter how much money you are offered.,,Nothing happens between them. They have never had any contact with each other.,Hank has the opportunity to have stranger Steve's hose painted blue.,He wasn't involved at all.,,,,,,,
216,3/11/22 15:43,R_3Lb4z4ux69Rpya4,0,,,,,,,,,1,100000,,Steve will be able to repaint his house and have money leftover to renovate,Hank reads a story about Carol,Hank picks Steves address at random to paint pink,He was not 
348,3/11/22 15:43,R_1mDCs7vUwpp7z4o,0,1,25000,,because its steves house he deserves somemoey,,nothing,the address hak picked is stevesaddress,nothng,,,,,,,
238,3/11/22 15:43,R_a5WtoJV6ESQeL6N,0,5,,,morally it is not right to take money for something that shouldn't be done in the first place. its not morally right to paint someones house without permission ,,hank read a story that carol was in ,hank had to decide to paint staves house blue or not ,her neighbor accidentally gave the wrong address ,,,,,,,
164,3/11/22 15:43,R_3EYBumIvWRB8NLS,0,1,3000,,3000 should be more than enough to pay for the house to be repainted if john doesn't like the job.,,they do not interact,hank is considdering trying to paint steve's house,i'm not sure,,,,,,,
235,3/11/22 15:43,R_8kKjDuJMhVIU3Kx,0,1,300000,,It seems like enough to get the house repainted plus extra for the annoyance of possibly having to have the house repainted to a color of Steve's liking again.,,"Hank reads a story about Carol, whose house was painted pink on accident while she was on vacation.",They both are having someone else's house painted.,Anne accidentally write down Carol's address instead of her own.,,,,,,,
167,3/11/22 15:43,R_3LcNhmddkZZkR8g,0,,,,,,,,,5,,,Can't willingly choose to perform a bad deed on someone and not be responsible.,absolutely nothing,possibility of steve getting his houes painted due to Hank,Absolutely nothing
261,3/11/22 15:43,R_1GE0zm7GwMah9fM,0,,,,,,,,,5,,,"It would not be right to paint the stranger's house without his consent, regardless of the money.",He read about her house being painted by mistake.,Hank picked Steve's address at random from the phone book.,He wasn't.
281,3/11/22 15:43,R_1DM5RE3MIUM75Av,0,5,,,It is not Hank’s place to have someone’s house painted.,,nothing,nothing,the stranger wasn’t involved in Carol’s house being painted.,,,,,,,
429,3/11/22 15:44,R_3ivWs5Rz78mdn9H,0,5,,,Because he can't contact Steve so he shouldn't do this or go to his property without approval from him.,,Nothing,They never speak or meet he just receives the offer involving Steve's house.,He was not involved.,,,,,,,
365,3/11/22 15:44,R_vicAS6jFybDN2wx,1,,,,,,,,,5,,,I do not think that someone would appreciate their house being painted pink!,Hank paints Carol's house blue while she is away on vacation by accident.,Hank has the option to choose to paint Steve's house pink for 1 million dollars.  Steve does not know and was picked at random.,The stranger is not involved. 
330,3/11/22 15:44,R_eX1su5qA2hAwpXz,0,1,75000,,"Hank gets a large amt of money and Steve gets his house repainted to the color he wants plus 70k, everyone wins.",,"Nothing, they are not involved with one another.",Hank allows wealthy guy to paint Steve's house.,Not involved.,,,,,,,
196,3/11/22 15:44,R_bOsykJGKThvFSyl,0,1,100000,,That is enough for Steve to have his house painted back to the prior color and have a bit left over.,,"Nothing, they are strangers.",Hank has picked Steve's house,He wasn't.,,,,,,,
464,3/11/22 15:44,R_OrEPk25jzma5UDD,0,3,25000,25000,25000 is enough for them to paint it back and keep the change while Hank gets keep the rest of the million,,Nothing he read the story in the newspaper,Hank can take the $1 million and paint Steve’s house blue,The stranger wasn't involved in that,,,,,,,
335,3/11/22 15:44,R_w5baA71MAJzulXP,0,,,,,,,,,1,500000,,"Well, Steve could easily repaint his house with the $500,000 if he didn't like the pink and I think the amount of money would make him happy. Seems like a win-win for both of us.",Nothing - Hank doesn't know Carol,Hank pick's Steve's house to be painted pink.,He wasn't - they were unrelated events.
373,3/11/22 15:44,R_sGUwL4iDv2SaFjz,0,3,100000,50000,Carol's house was an honest mistake that the money would more than cover to repaint. Steve's was done on purpose so he should get more.,,Carol's house is accidentally painted pink,Hank is offered a million dollars to paint Steve's house blue but he can't get ahold of him,He was not,,,,,,,
204,3/11/22 15:44,R_3GjoObtXdqQjr9y,0,1,30000,,It would be enough to get the house repainted,,Hank reads about Carol’s house being painted,Hank can choose to paint Steve’s house for one million dollars,They werent,,,,,,,
312,3/11/22 15:44,R_1JUFO2q25jPQV2t,0,,,,,,,,,1,10000,,"Hank should paint the house and give Steve some money afterwards and leave his contact information. That way if Steven needs to fix his house back to the proper color, he has the funds to do so and some extra money.",Hank reads about how Carol ended up having her house painted blue on accident because of her neighbor.,Hank is offered one million dollars to have Steve's house painted pink or not.,The stranger wasn't involved in Carol's house painted blue. Anne wanted her house painted blue but made a mistake and put down her neighbor's address (Carol's.)
358,3/11/22 15:44,R_8AJeoG7BHOUdYe5,0,,,,,,,,,1,250000,,"One quarter of a million dollars should be more than enough for Steve to be able to repaint his house however he wants. Though it's true that his house was vandalized without giving permission, a quarter of a million dollars would be an amazing gift.  And had this happened to me... and MY house was mysteriously painted pink... I would be thrilled to receive $250000 when I learned why it had been painted.",Nothing.  Hank reads a story about Carol but nothing between them happens.,Hank picks Steve's name at random and has to decide whether or not to paint (vandalize) his house for a million dollars.,"It's not spelled out that the stranger WASN'T involved, but there's nothing in the story to suggest that the stranger was involved in any way."
314,3/11/22 15:44,R_sSwbd3YrXwfh5E5,0,,,,,,,,,5,,,The option to contact the person beforehand was not presented so the offer should be declined.,Nothing. They don't know each other.,Hank has to decide whether to paint Steve's house.,The stranger is not involved in Carol's house.
